username,date,review_content,purchase_point,recommend,rating,jenis_produk,trend,age_category,periode_penggunaan,skintype,skintone,undertone
rahelch,2024-11-17,"Hidden gem? Wkwkwk Akhirnya menemukan ss yang bagus banget di kulit aku yang berminyak bener bener gak greasy dan nahan minyaknya oke banget di aku, ga bikin jerawatan, dan ga sumuk pokoknya paket komplittt😭 bagus banget huft bakal aku repurchase terus walaupun mungkin spfnya ga setinggi itu tapi dia nyaman banget dipake dan lembab bangetttMinusnya cuma karna masih sistem oles jadi rada sulit kalo terburu buru ya10/10",Shopee,rahelch recommends this product!,5,Azarine Calm My Acne Sunscreen Moisturizer,64,dewasa muda,Jangka Menengah,Combination,Medium Light,Neutral
Vinna23,2024-11-17,"pernah coba punya temen, teksturnya mirip-mirip sama varian lainnya. gel lembut yang moist dan mudah di aplikasiin. no whitecast juga. an option buat kulit kmu yang sensitif dan butuh yang gentle-gentle aja, overall suka. bakal beli buat diri sendiri",Sample,Vinna23 recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,64,remaja,Jangka Pendek,Oily,Medium,Cool
cellinaas,2024-11-05,"suunscren paling sih !!aku pakai bagi sebelum berangkat sekolah siang hari replay terus , suunscrenpaling ringan, gampang di blend , + bisa bikin lembab karena ada moisturizernya touch up terus wajib biar ga gosong luvv banget deh sama suunscren satu ini luvv azarine❤️",Tiktok Shop,cellinaas recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer,55,remaja,Jangka Menengah,Combination,Medium Dark,Warm
Lilyraharjo18,2024-11-04,"Sunscreen worth it to buy sejauh ini.. aku pakai pagi sebelum ke kantor, kalau ada kerjaan di lapangan touch up 2 kali biar gak gosong✌🏻ada moisturizer nya bikin lembab kulit, dan gak buat kusam sih menurut ku. aku pilih yg calm my acne karna kmren aku sempet jerawatan✨",Shopee,Lilyraharjo18 recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer,62,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
Sanarooo,2024-11-03,"Cocok untuk kulit kering dan kombinasi, ringan dibawa pada saat berpergian, tekstur formula ringan dan tidak sulit untuk diaplikasikan. Harga terjangkau dan mudah didapatkan dimana saja. Re-applay 2-3 jam sekali. Mampu membuat kulit terasa plumpy. Rekomendasi",Shopee,Sanarooo recommends this product!,5,Azarine Hydramax C Sunscreen Serum,60,dewasa muda,Jangka Panjang,Dry,Medium,Neutral
Imnisa,2024-11-03,"cocok banget buat aku yg sensitive dan oily skin, ga buat beruntusan dan buat pori-pori kecil. suka banget paake ini jadi sleeping mask, buat kulit bangun pagi-pagi jadi kenyal kinclong banget. must try banget buat kita pejuang acne dan big pore",Female Daily Studio,Imnisa recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,60,dewasa muda,Jangka Pendek,Combination,Medium,Neutral
rahmadewi2002,2024-11-03,"sunscreen legend banget! udah pakai ini lebih dari setahun dan ini sunscreen ternyaman! teksturnya ringan dan mudah menyerap, harganya juga terjangkau untuk kantong mahasiswa, formulasinya juga sangat pas untuk kulit 20 tahun keatas",Shopee,rahmadewi2002 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,60,dewasa muda,Jangka Panjang,Dry,Medium,Warm
shrnsia_23,2024-11-02,"Produk ini bagus kok, sejauh ini aq pakai gk bikin breakout. Tekstur nya ringan and mudah menyerap. And produk ini gk bikin kulit jadi berminyak bgt, padahal tipe kulit aq combination to oily. Cocok juga buat sensitive skin cuz ini produk bisa bantu nenangin kulit.",Shopee,shrnsia_23 recommends this product!,4,Azarine Calm My Acne Sunscreen Moisturizer,57,remaja,Jangka Menengah,Combination,Medium Light,Cool
nabills21,2024-11-02,"sunscreen azarine yang satu ini baguss bangeett sumpahh, melembabkan kulit, teksturnya gel tapi cepat bangett meresap nyaa dan ga bikin lengket, ringan parahh. spf nya 50PA++++😍🫶🏻 ada efek tone up nya sedikit ga buat muka putih” bgt lah ya, finish nya bikin muka glowly🫶🏻",Shopee,nabills21 recommends this product!,5,Azarine Hydramax C Sunscreen Serum,57,dewasa muda,Jangka Menengah,Oily,Medium Light,Neutral
Ruthssrg,2024-11-02,"Ini bagus bgt, di aku ringan dan sama skali ga bikin lengket. udah berkali2 repurchase jugaaa <3 kalian buat yang nyari sunscreen murah dan ringan, mungkin produk ini adalah best choice buat kaliannn, apalagi untuk anak sekolahan dan kuliahan",Shopee,Ruthssrg recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,57,dewasa muda,Jangka Panjang,Normal,Medium Light,Neutral
