value,date
80,2024-08-21
61,2024-08-22
78,2024-08-23
76,2024-08-24
61,2024-08-25
64,2024-08-26
65,2024-08-27
79,2024-08-28
67,2024-08-29
80,2024-08-30
71,2024-08-31
88,2024-09-01
70,2024-09-02
70,2024-09-03
54,2024-09-04
54,2024-09-05
65,2024-09-06
59,2024-09-07
62,2024-09-08
52,2024-09-09
59,2024-09-10
52,2024-09-11
52,2024-09-12
45,2024-09-13
77,2024-09-14
59,2024-09-15
74,2024-09-16
57,2024-09-17
63,2024-09-18
65,2024-09-19
36,2024-09-20
61,2024-09-21
51,2024-09-22
56,2024-09-23
42,2024-09-24
48,2024-09-25
39,2024-09-26
76,2024-09-27
51,2024-09-28
61,2024-09-29
47,2024-09-30
71,2024-10-01
61,2024-10-02
45,2024-10-03
66,2024-10-04
78,2024-10-05
88,2024-10-06
50,2024-10-07
82,2024-10-08
71,2024-10-09
62,2024-10-10
47,2024-10-11
60,2024-10-12
81,2024-10-13
62,2024-10-14
59,2024-10-15
62,2024-10-16
74,2024-10-17
51,2024-10-18
63,2024-10-19
100,2024-10-20
67,2024-10-21
53,2024-10-22
57,2024-10-23
59,2024-10-24
63,2024-10-25
59,2024-10-26
63,2024-10-27
54,2024-10-28
65,2024-10-29
47,2024-10-30
43,2024-10-31
59,2024-11-01
57,2024-11-02
60,2024-11-03
62,2024-11-04
55,2024-11-05
58,2024-11-06
55,2024-11-07
54,2024-11-08
55,2024-11-09
71,2024-11-10
62,2024-11-11
52,2024-11-12
52,2024-11-13
49,2024-11-14
41,2024-11-15
49,2024-11-16
64,2024-11-17
48,2024-11-18
42,2024-11-19
39,2024-11-20
